,country,Country,#ofpassengers
22, Argentina,Argentina,6
39, Australia,Australia,2
48, Austria,Austria,1
42, Belarus,Belarus,1
12, Belgium,Belgium,22
62, Bolivia,Bolivia,1
25, Bosnia,Bosnia and Herz.,4
8, Bulgaria,Bulgaria,33
7, Canada,Canada,41
16, China,China,8
10, Croatia,Croatia,29
64, Cuba,Cuba,1
20, Denmark,Denmark,7
57, Egypt,Egypt,1
53, Russia (Estonia?),Estonia,1
6, Finland,Finland,52
9, France,France,32
32, German Empire[note 2],Germany,5
30, Greece,Greece,3
31, British India,India,4
29, Italy,Italy,3
52, Japan,Japan,1
5, Lebanon,Lebanon,58
41, Lithuania [76],Lithuania,1
47, Macedonia,Macedonia,1
60, Mexico,Mexico,1
51, Monaco,Monaco,1
11, Norway,Norway,24
55, Peru,Peru,1
46, Poland,Poland,1
27, Portugal,Portugal,4
26, Russian Empire[note 6],Russia,10
33, Siam,Thailand,3
23, Slovenia,Slovenia,5
34, South Africa,South Africa,2
17, Spain,Spain,8
3, Sweden,Sweden,80
13, Switzerland,Switzerland,12
14, Syria,Syria,13
59, The Netherlands,Netherlands,1
21, Turkey,Turkey,8
4, UK,United Kingdom,479
0, US,United States,291
35, Unknown,Unknown,3
36, Uruguay,Uruguay,2